# spectral number density of the DustTorus photon field
# -----------------------------------------------
# Parameters:
# mode,Lf,eta,M:		mcbb,1.00,0.10,1.0E+08 Msun
# Ldisc,f_IR,f_cor,f_BLR:	1.2117E+45 erg/s,0.26,0.27,[0.01,0.01]
# Rin,Rout,Rdiss:		3.00E+00,5.00E+02,8.09E+04 R_S
# T_IR,R_cor,b_X,Eup:	200 K,30.00,0.90,500 keV
# -----------------------------------------------
# nu [Hz],dn/de [m-3 eV-1]
5.495408738575776108e+06,3.915611304228947449e+10
5.623413251903007738e+06,4.006817546575588226e+10
5.754399373371072114e+06,4.100148252321007538e+10
5.888436553555377759e+06,4.195652906438072205e+10
6.025595860743051395e+06,4.293382146546305847e+10
6.165950018614280038e+06,4.393387789760154724e+10
6.309573444801375270e+06,4.495722860162659454e+10
6.456542290345981717e+06,4.600441616919016266e+10
6.606934480075369589e+06,4.707599583044995880e+10
6.760829753919210285e+06,4.817253574845440674e+10
6.918309709188739769e+06,4.929461732038441467e+10
7.079457843840735964e+06,5.044283548581213379e+10
7.244359600749239326e+06,5.161779904213934326e+10
7.413102413008494303e+06,5.282013096738362885e+10
7.585775750291137956e+06,5.405046875048259735e+10
7.762471166286197491e+06,5.530946472929179382e+10
7.943282347242074087e+06,5.659778643645555115e+10
8.128305161640230566e+06,5.791611695333361053e+10
8.317637711025926284e+06,5.926515527217198181e+10
8.511380382022958249e+06,6.064561666670896149e+10
8.709635899559976533e+06,6.205823307141396332e+10
8.912509381336601451e+06,6.350375346955954742e+10
9.120108393558220938e+06,6.498294429033214569e+10
9.332543007969008759e+06,6.649658981519288635e+10
9.549925860213430598e+06,6.804549259370303345e+10
9.772372209557151422e+06,6.963047386903520203e+10
9.999999999999018386e+06,7.125237401339555359e+10
1.023292992280653119e+07,7.291205297358755493e+10
1.047128548050795682e+07,7.461039072695472717e+10
1.071519305237499624e+07,7.634828774794206238e+10
1.096478196143075265e+07,7.812666548552566528e+10
1.122018454301850498e+07,7.994646685176217651e+10
1.148153621496766619e+07,8.180865672171775818e+10
1.174897554939410090e+07,8.371422244504077148e+10
1.202264434617290087e+07,8.566417436945124817e+10
1.230268770812255330e+07,8.765954637642218018e+10
1.258925411794037372e+07,8.970139642933856201e+10
1.288249551693000458e+07,9.179080713442381287e+10
1.318256738556269929e+07,9.392888631473168945e+10
1.348962882591512613e+07,9.611676759750666809e+10
1.380384264602739923e+07,9.835561101522604370e+10
1.412537544622605294e+07,1.006466036206405029e+11
1.445439770745774359e+07,1.029909601161407471e+11
1.479108388168049976e+07,1.053899234977826996e+11
1.513561248436046205e+07,1.078447657143133698e+11
1.548816618912314810e+07,1.103567883415464935e+11
1.584893192460942268e+07,1.129273232724455414e+11
1.621810097358754091e+07,1.155577334232801056e+11
1.659586907437379844e+07,1.182494134562287750e+11
1.698243652461558580e+07,1.210037905188144684e+11
1.737800828749184310e+07,1.238223250005599365e+11
1.778279410038726404e+07,1.267065113072692108e+11
1.819700858609781414e+07,1.296578786533416290e+11
1.862087136662659794e+07,1.326779918725403595e+11
1.905460717963033915e+07,1.357684522476453552e+11
1.949844599757826328e+07,1.389308983594294739e+11
1.995262314968654513e+07,1.421670069554086609e+11
2.041737944669297710e+07,1.454784938388259277e+11
2.089296130853801593e+07,1.488671147783418884e+11
2.137962089501987770e+07,1.523346664389119263e+11
2.187761623949301243e+07,1.558829873343450012e+11
2.238721138568081334e+07,1.595139588020493469e+11
2.290867652767507732e+07,1.632295060004793701e+11
2.344228815319649503e+07,1.670315989298157959e+11
2.398832919019210339e+07,1.709222534764172974e+11
2.454708915684742481e+07,1.749035324815990295e+11
2.511886431509284303e+07,1.789775468353034668e+11
2.570395782768559828e+07,1.831464565952442932e+11
2.630267991895069554e+07,1.874124721321150513e+11
2.691534803926594555e+07,1.917778553014718018e+11
2.754228703337836638e+07,1.962449206429088745e+11
2.818382931264114752e+07,2.008160366071640930e+11
2.884031503126257658e+07,2.054936268118042603e+11
2.951209226666028053e+07,2.102801713261564636e+11
3.019951720401648432e+07,2.151782079861653442e+11
3.090295432513212785e+07,2.201903337398744507e+11
3.162277660167991370e+07,2.253192060242437744e+11
3.235936569295883924e+07,2.305675441740344238e+11
3.311311214825501293e+07,2.359381308635051575e+11
3.388441561391604692e+07,2.414338135816887207e+11
3.467368504524884373e+07,2.470575061420242615e+11
3.548133892335310578e+07,2.528121902271514282e+11
3.630780547700557113e+07,2.587009169696820679e+11
3.715352290971256793e+07,2.647268085697873535e+11
3.801893963205130398e+07,2.708930599504582214e+11
3.890451449942311645e+07,2.772029404513177490e+11
3.981071705534464121e+07,2.836597955618786621e+11
4.073802778040605783e+07,2.902670486951715698e+11
4.168693834702818096e+07,2.970282030026771851e+11
4.265795188015376031e+07,3.039468432315281982e+11
4.365158322401093692e+07,3.110266376249634399e+11
4.466835921509049833e+07,3.182713398670444946e+11
4.570881896148153394e+07,3.256847910726590576e+11
4.677351412871368974e+07,3.332709218238735962e+11
4.786300923225753754e+07,3.410337542537080078e+11
4.897788193683815002e+07,3.489774041784390869e+11
